Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,COS (ppb),H2O (ppm),CO2 (ppm),Diff. COS (ppb),Mean H2O (ppm),Mean CO2 (ppm),DiffSpec Species0,DiffSpec Species2,DiffSpec Chi2,Power Input (mV),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
09/10/2022 12:55:57.438,1,139.97,31.2900,32.8149,20.9218,28.5540,31.2900,129802,74519,-5.79884,0.0709776,-7.82763e-05,5.00612e-08,0.668642,5.02667,1,0.0271124,5.3264,1,9.08547,-0.0459592,0.000223531,-2.04541e-07,0.00977185,5.02667,1,0.000664069,5.02667,1,2.94159,15.1531,5.22979,18238.6,1280.05,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14834,33.25,32.804,20.000,10.815,1023
09/10/2022 12:55:58.462,1,139.996,31.3327,32.8563,20.9227,28.5931,31.3327,129744,74176,-5.84267,0.0715361,-8.02364e-05,5.266e-08,0.66808,4.8695,1,0.0279794,5.07386,1,10.166,-0.0541653,0.00024446,-2.22032e-07,0.00795294,4.8695,1,0.000804072,4.8695,1,2.94284,15.1851,6.33353,18223,1321.22,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14865,33.25,32.850,19.990,10.820,1023
09/10/2022 12:55:59.486,1,140.02,31.3769,32.8977,20.9219,28.6517,31.3769,129663,73836,-5.83253,0.0714134,-7.94109e-05,5.15061e-08,0.666027,4.76326,1,0.0289883,4.88348,1,11.0813,-0.0611177,0.000262225,-2.36879e-07,0.00748974,4.76326,1,0.000970587,4.76326,1,2.94411,15.2163,7.64629,18166.7,1369.07,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14855,33.25,32.891,19.984,10.825,1023
09/10/2022 12:56:00.510,1,139.977,31.4203,32.9392,20.9237,28.6810,31.4203,129718,73489,-5.83338,0.0713981,-7.89667e-05,5.08128e-08,0.662338,4.77681,1,0.0300804,4.79555,1,12.0622,-0.0684888,0.00028083,-2.52242e-07,0.00650407,4.77681,1,0.00108481,4.77681,1,2.94511,15.2478,8.547,18065.8,1420.78,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14808,33.35,32.937,19.974,10.830,1023
09/10/2022 12:56:01.534,1,139.993,31.4648,32.9743,20.9213,28.7494,31.4648,129566,73160,-5.86431,0.0718278,-8.04929e-05,5.29528e-08,0.660284,4.54668,1,0.0304383,4.50068,1,13.5497,-0.0795571,0.000308441,-2.74905e-07,0.00594875,4.54668,1,0.00120051,4.54668,1,2.94624,15.2806,9.46001,18009.5,1437.9,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14825,33.35,32.978,19.966,10.834,1023
09/10/2022 12:56:02.558,1,140.018,31.5080,33.0131,20.9224,28.8276,31.5080,129633,72831,-5.86712,0.0718655,-8.04381e-05,5.29634e-08,0.656681,4.62868,1,0.0308485,4.44767,1,14.3059,-0.085254,0.000322873,-2.86827e-07,0.00494641,4.62868,1,0.00132994,4.62868,1,2.94758,15.3096,10.4809,17911,1457.43,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14863,33.35,33.023,19.960,10.837,1023
09/10/2022 12:56:03.582,1,139.964,31.5421,33.0544,20.9212,28.8862,31.5421,129510,72507,-5.91501,0.0724829,-8.26351e-05,5.59528e-08,0.651556,4.42446,1,0.0312648,4.14904,1,15.8445,-0.0967095,0.000351496,-3.10359e-07,0.00515328,4.42446,1,0.0014135,4.42446,1,2.9487,15.345,11.1397,17771,1477.12,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14849,33.35,33.068,19.954,10.844,1023
09/10/2022 12:56:04.606,1,140.024,31.5862,33.0966,20.9201,28.9448,31.5862,129540,72196,-5.92391,0.0726244,-8.30774e-05,5.67172e-08,0.647854,4.42162,1,0.0315432,4.04428,1,16.2905,-0.0999839,0.000359664,-3.16924e-07,0.00505266,4.42162,1,0.0014722,4.42162,1,2.94973,15.3738,11.6034,17669.7,1490.42,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14818,33.45,33.110,19.952,10.848,1023
09/10/2022 12:56:05.630,1,139.969,31.6296,33.1363,20.9204,28.9643,31.6296,129509,71882,-5.93751,0.0728151,-8.36482e-05,5.76181e-08,0.640058,4.35301,1,0.0317479,3.842,1,17.5679,-0.109473,0.000383305,-3.36284e-07,0.00518486,4.35301,1,0.00150466,4.35301,1,2.95086,15.4043,11.8591,17456.8,1500.06,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14875,33.45,33.155,19.942,10.855,1023
09/10/2022 12:56:06.654,1,139.987,31.6727,33.1768,20.9193,29.0425,31.6727,129430,71580,-5.95984,0.0731308,-8.47351e-05,5.91712e-08,0.635358,4.21543,1,0.0314949,3.59732,1,18.5384,-0.116595,0.000400899,-3.50531e-07,0.00563484,4.21543,1,0.00152301,4.21543,1,2.95187,15.4343,12.0046,17328.4,1488.21,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14828,33.45,33.196,19.934,10.859,1023
09/10/2022 12:56:07.678,1,140.021,31.7167,33.2182,20.9187,29.0914,31.7167,129501,71285,-5.94366,0.072959,-8.39873e-05,5.83291e-08,0.631952,4.27047,1,0.031361,3.53936,1,19.0561,-0.120341,0.000409975,-3.57651e-07,0.00517558,4.27047,1,0.00147053,4.27047,1,2.95291,15.4557,11.5923,17235.2,1482.05,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14856,33.45,33.241,19.928,10.863,1023
09/10/2022 12:56:08.702,1,139.985,31.7596,33.2555,20.9174,29.1402,31.7596,129341,71012,-5.96938,0.0733347,-8.53935e-05,6.04111e-08,0.624084,4.06495,1,0.0310264,3.22505,1,19.2897,-0.121777,0.000412996,-3.59513e-07,0.0058719,4.06495,1,0.00141257,4.06495,1,2.95404,15.4858,11.1352,17020.3,1466.2,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14842,33.45,33.282,19.923,10.867,1023
09/10/2022 12:56:09.726,1,139.991,31.8019,33.2909,20.9170,29.1891,31.8019,129430,70737,-5.96818,0.0733334,-8.52909e-05,6.04053e-08,0.61809,4.14854,1,0.0307426,3.16341,1,19.3612,-0.122145,0.000413602,-3.59588e-07,0.00675603,4.14854,1,0.00131258,4.14854,1,2.95511,15.5085,10.3473,16856.6,1452.83,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14828,33.45,33.327,19.918,10.873,1023
09/10/2022 12:56:10.750,1,139.99,31.8366,33.3312,20.9155,29.2379,31.8366,129347,70478,-5.94702,0.0731382,-8.44402e-05,5.95824e-08,0.612554,4.03006,1,0.0300891,2.93325,1,19.2683,-0.121096,0.000410349,-3.56184e-07,0.00656237,4.03006,1,0.00116778,4.03006,1,2.95648,15.5396,9.2059,16705.5,1421.96,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14873,33.45,33.368,19.910,10.878,1023
09/10/2022 12:56:11.876,1,139.984,31.8813,33.3738,20.9170,29.3258,31.8813,129317,70202,-5.9357,0.0730251,-8.37773e-05,5.87911e-08,0.605729,4.00294,1,0.0295602,2.78585,1,18.9237,-0.118258,0.000402871,-3.49477e-07,0.00849902,4.00294,1,0.00100374,4.00294,1,2.95757,15.5697,7.9129,16519.1,1396.99,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14813,33.45,33.413,19.905,10.886,1023
09/10/2022 12:56:12.900,1,140.014,31.9280,33.4170,20.9152,29.3942,31.9280,129307,69959,-5.91524,0.0727929,-8.27155e-05,5.74136e-08,0.603481,4.00503,1,0.0287318,2.66809,1,18.5522,-0.115157,0.000394455,-3.41795e-07,0.00853019,4.00503,1,0.000788692,4.00503,1,2.95862,15.5905,6.21855,16457.5,1358.05,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14862,33.55,33.453,19.905,10.893,1023
09/10/2022 12:56:13.924,1,140.014,31.9636,33.4582,20.9138,29.4333,31.9636,129200,69726,-5.88863,0.0725126,-8.14773e-05,5.58789e-08,0.598712,3.85545,1,0.0276341,2.45882,1,17.6911,-0.108301,0.00037655,-3.26153e-07,0.0108479,3.85545,1,0.000592828,3.85545,1,2.95984,15.615,4.6744,16327.2,1306.2,0,0,0,3.2265e-307,1.39077e-308,4.89549e-307,14838,33.45,33.498,19.901,10.901,767
